locus	chrom	source	feature	start	end	score	strand	frame	category	nfeats	name	cov	length
HML2_1_0001	chr1	merged	gene	1345186	1346153	.	+	.	sololtr	1	HML2_0001	967	967
HML2_1_0002	chr1	merged	gene	1515722	1516631	.	+	.	sololtr	1	HML2_0002	909	909
HML2_1_0003	chr1	merged	gene	3666964	3667954	.	+	.	sololtr	1	HML2_0003	990	990
HML2_1_0004	chr1	merged	gene	5633660	5634670	.	-	.	sololtr	1	HML2_0004	1010	1010
HML2_1_0005	chr1	merged	gene	9061878	9062867	.	+	.	sololtr	1	HML2_0005	989	989
HML2_1_0007	chr1	merged	gene	10486981	10487683	.	+	.	sololtr	1	HML2_0007	702	702
HML2_1_0008	chr1	merged	gene	11949922	11951215	.	+	.	sololtr	2	HML2_0008	1008	1293
HML2_1p36.21a	chr1	merged	gene	12840257	12846078	.	-	.	oneside	2	HML2_0009	5821	5821
HML2_1_0011	chr1	merged	gene	13180992	13181850	.	+	.	sololtr	1	HML2_0011	858	858
HML2_1p36.21b	chr1	merged	gene	13458304	13467826	.	+	.	canonical	4	HML2_0013	9431	9522
HML2_1p36.21c	chr1	merged	gene	13679140	13688662	.	+	.	canonical	4	HML2_0014	9431	9522
HML2_1_0015	chr1	merged	gene	15461833	15462792	.	-	.	sololtr	1	HML2_0015	959	959
HML2_1_0016	chr1	merged	gene	15705513	15706472	.	-	.	sololtr	1	HML2_0016	959	959
HML2_1_0017	chr1	merged	gene	20356520	20357508	.	-	.	sololtr	1	HML2_0017	988	988
HML2_1_0019	chr1	merged	gene	25914340	25915308	.	+	.	sololtr	1	HML2_0019	968	968
HML2_1_0020	chr1	merged	gene	29664593	29665559	.	-	.	sololtr	1	HML2_0020	966	966
HML2_1_0021	chr1	merged	gene	29685844	29686802	.	+	.	sololtr	1	HML2_0021	958	958
HML2_1p35.1	chr1	merged	gene	33529116	33530711	.	+	.	oneside	2	HML2_0023	1596	1595
HML2_1p34.3	chr1	merged	gene	36954584	36956728	.	-	.	oneside	3	HML2_0025	2145	2144
HML2_1_0026	chr1	merged	gene	38025275	38026265	.	-	.	sololtr	1	HML2_0026	990	990
HML2_1_0027	chr1	merged	gene	39969805	39971253	.	-	.	sololtr	2	HML2_0027	1382	1448
HML2_1_0028	chr1	merged	gene	40937418	40938429	.	+	.	sololtr	1	HML2_0028	1011	1011
HML2_1_0029	chr1	merged	gene	41037697	41038666	.	+	.	sololtr	1	HML2_0029	969	969
HML2_1_0030	chr1	merged	gene	45979182	45980137	.	+	.	sololtr	1	HML2_0030	955	955
HML2_1_0031	chr1	merged	gene	45993774	45994740	.	+	.	sololtr	1	HML2_0031	966	966
HML2_1_0032	chr1	merged	gene	46785967	46786935	.	+	.	sololtr	1	HML2_0032	968	968
HML2_1_0033	chr1	merged	gene	46795434	46796187	.	+	.	sololtr	1	HML2_0033	753	753
HML2_1_0034	chr1	merged	gene	46861535	46862514	.	-	.	sololtr	1	HML2_0034	979	979
HML2_1_0035	chr1	merged	gene	47254240	47255201	.	+	.	sololtr	1	HML2_0035	961	961
HML2_1_0036	chr1	merged	gene	47598846	47599875	.	+	.	sololtr	1	HML2_0036	1029	1029
HML2_1_0037	chr1	merged	gene	52471916	52472883	.	+	.	sololtr	1	HML2_0037	967	967
HML2_1_0038	chr1	merged	gene	53633908	53634921	.	-	.	sololtr	1	HML2_0038	1013	1013
HML2_1_0039	chr1	merged	gene	55101793	55102770	.	-	.	sololtr	1	HML2_0039	977	977
HML2_1_0040	chr1	merged	gene	60380016	60381038	.	+	.	sololtr	1	HML2_0040	1022	1022
HML2_1_0041	chr1	merged	gene	60403830	60404837	.	-	.	sololtr	1	HML2_0041	1007	1007
HML2_1_0042	chr1	merged	gene	62636648	62637639	.	-	.	sololtr	1	HML2_0042	991	991
HML2_1_0043	chr1	merged	gene	65605478	65606445	.	+	.	sololtr	1	HML2_0043	967	967
HML2_1_0044	chr1	merged	gene	66890497	66891457	.	-	.	sololtr	1	HML2_0044	960	960
HML2_1_0045	chr1	merged	gene	67057250	67058236	.	-	.	sololtr	1	HML2_0045	986	986
HML2_1_0046	chr1	merged	gene	70926107	70927082	.	-	.	sololtr	1	HML2_0046	975	975
HML2_1_0047	chr1	merged	gene	73594980	73595948	.	-	.	sololtr	1	HML2_0047	968	968
HML2_1p31.1	chr1	merged	gene	75842770	75849143	.	+	.	canonical	5	HML2_0048	6374	6373
HML2_1_0050	chr1	merged	gene	78448579	78449521	.	-	.	sololtr	1	HML2_0050	942	942
HML2_1_0051	chr1	merged	gene	80168025	80168979	.	+	.	sololtr	1	HML2_0051	954	954
HML2_1_0053	chr1	merged	gene	89532545	89533506	.	-	.	sololtr	1	HML2_0053	961	961
HML2_1_0055	chr1	merged	gene	93742338	93743306	.	-	.	sololtr	1	HML2_0055	968	968
HML2_1_0057	chr1	merged	gene	100259110	100260111	.	-	.	sololtr	1	HML2_0057	1001	1001
HML2_1_0058	chr1	merged	gene	100301389	100302324	.	-	.	sololtr	1	HML2_0058	935	935
HML2_1_0059	chr1	merged	gene	104677360	104678334	.	-	.	sololtr	1	HML2_0059	974	974
HML2_1_0060	chr1	merged	gene	109060066	109061034	.	+	.	sololtr	1	HML2_0060	968	968
HML2_1_0061	chr1	merged	gene	110309237	110310236	.	+	.	sololtr	1	HML2_0061	999	999
HML2_1_0062	chr1	merged	gene	111902345	111905005	.	-	.	sololtr	2	HML2_0062	1932	2660
HML2_1_0063	chr1	merged	gene	113359399	113360425	.	-	.	sololtr	1	HML2_0063	1026	1026
HML2_1_0064	chr1	merged	gene	114600769	114601742	.	+	.	sololtr	1	HML2_0064	973	973
HML2_1_0065	chr1	merged	gene	144603413	144604386	.	+	.	sololtr	1	HML2_0065	973	973
HML2_1_0066	chr1	merged	gene	145501710	145502679	.	-	.	sololtr	1	HML2_0066	969	969
HML2_1_0067	chr1	merged	gene	146068275	146069248	.	-	.	sololtr	1	HML2_0067	973	973
HML2_1_0068	chr1	merged	gene	146119261	146120262	.	+	.	sololtr	1	HML2_0068	1001	1001
HML2_1_0069	chr1	merged	gene	146342448	146343449	.	-	.	sololtr	1	HML2_0069	1001	1001
HML2_1_0070	chr1	merged	gene	146383502	146384490	.	+	.	sololtr	1	HML2_0070	988	988
HML2_1_0071	chr1	merged	gene	146577698	146578659	.	-	.	sololtr	1	HML2_0071	961	961
HML2_1_0072	chr1	merged	gene	146711748	146712717	.	+	.	sololtr	1	HML2_0072	969	969
HML2_1_0073	chr1	merged	gene	147181541	147182566	.	-	.	sololtr	1	HML2_0073	1025	1025
HML2_1_0074	chr1	merged	gene	147205979	147206938	.	-	.	sololtr	1	HML2_0074	959	959
HML2_1_0075	chr1	merged	gene	147610111	147611084	.	-	.	sololtr	1	HML2_0075	973	973
HML2_1_0076	chr1	merged	gene	147661093	147662094	.	+	.	sololtr	1	HML2_0076	1001	1001
HML2_1_0077	chr1	merged	gene	148356349	148357322	.	-	.	sololtr	1	HML2_0077	973	973
HML2_1_0078	chr1	merged	gene	148565785	148566758	.	+	.	sololtr	1	HML2_0078	973	973
HML2_1q21.3	chr1	merged	gene	150605283	150608361	.	.	.	canonical	4	HML2_0079	3079	3078
HML2_1_0080	chr1	merged	gene	150681665	150682689	.	+	.	sololtr	1	HML2_0080	1024	1024
HML2_1_0081	chr1	merged	gene	151844984	151845971	.	+	.	sololtr	1	HML2_0081	987	987
HML2_1_0082	chr1	merged	gene	152427584	152428557	.	-	.	sololtr	1	HML2_0082	973	973
HML2_1_0083	chr1	merged	gene	153060770	153061750	.	-	.	sololtr	1	HML2_0083	980	980
HML2_1_0084	chr1	merged	gene	155569327	155570296	.	-	.	sololtr	1	HML2_0084	969	969
HML2_1q22	chr1	merged	gene	155596456	155605636	.	-	.	canonical	4	HML2_0085	9181	9180
HML2_1_0086	chr1	merged	gene	156149013	156149981	.	+	.	sololtr	1	HML2_0086	968	968
HML2_1_0087	chr1	merged	gene	156151251	156152212	.	+	.	sololtr	1	HML2_0087	961	961
HML2_1_0088	chr1	merged	gene	159737585	159738553	.	+	.	sololtr	1	HML2_0088	968	968
HML2_1_0089	chr1	merged	gene	160621928	160622885	.	+	.	sololtr	1	HML2_0089	957	957
HML2_1q23.3	chr1	merged	gene	160660574	160669806	.	+	.	canonical	4	HML2_0090	9233	9232
HML2_1_0091	chr1	merged	gene	160882931	160883908	.	+	.	sololtr	1	HML2_0091	977	977
HML2_1_0092	chr1	merged	gene	160916693	160919581	.	-	.	sololtr	2	HML2_0092	1964	2888
HML2_1_0093	chr1	merged	gene	160986624	160987594	.	+	.	sololtr	1	HML2_0093	970	970
HML2_1_0094	chr1	merged	gene	161285497	161286394	.	-	.	sololtr	1	HML2_0094	897	897
HML2_1_0096	chr1	merged	gene	161382200	161383410	.	+	.	sololtr	2	HML2_0096	917	1210
HML2_1_0097	chr1	merged	gene	161403689	161404716	.	+	.	sololtr	1	HML2_0097	1027	1027
HML2_1_0098	chr1	merged	gene	165061819	165062795	.	+	.	sololtr	1	HML2_0098	976	976
